Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Dendritic cells resting	Dendritic cells activated
ABCB4	555.7134486	10.744235	4.311280198	4.605860048	7.406441697	8.043975587	6.469992914	7.833081747	9.312294624	13.68283856	4.556712661	6.202495893	114.6367466	4.872184408
ABCB9	15.6035437	22.09478724	24.22372293	35.67150717	30.04819243	38.45542286	17.60479495	46.07365684	19.71572161	21.8637228	16.39614273	20.30942573	123.9933055	23.38460308
ACAP1	215.3059512	321.6210208	1055.613378	1790.09717	922.1527467	340.8834245	1107.798265	1995.482601	280.0757192	512.636909	387.5817422	190.8790244	61.38654966	26.41292251
ACHE	15.11794931	16.64884729	13.42828841	27.18773248	18.44492663	13.44126834	14.80554182	24.65271196	33.65844838	16.65373849	13.44126834	16.37526833	16.71547355	193.1599772
ACP5	605.8973843	1935.201479	306.3125193	744.6565995	557.8198203	248.5469318	711.9497439	958.9160181	493.96912	340.8201368	239.2770679	512.9313823	13825.05363	3989.865169
ADAM28	1943.742699	1148.120138	22.6897181	40.06171311	21.23331069	15.20961988	24.28140623	74.76633501	24.37075223	193.6093922	94.40581808	58.3112027	37.29172579	53.21964861
ADAMDEC1	371.0335929	318.478799	44.61628687	80.9645004	47.43351387	30.55297649	68.73789331	156.7076551	231.8272543	68.27758592	48.39924584	106.301336	164.8412494	1784.613941
ADAMTS3	146.1955683	106.052311	42.39041586	79.24179515	57.38590645	53.41302407	35.41107579	76.28061758	65.26798809	31.43526856	50.81967419	54.79707074	48.69796983	44.22693487
ADRB2	486.3438163	510.0813396	899.6485015	77.15395496	595.2105488	142.8319114	97.17422647	217.0627702	2378.452129	1957.53925	2360.471299	664.8839501	175.6334734	82.9116614
AIF1	24.0742984	20.32185897	742.8158187	718.6147868	35.1722477	39.50876033	19.07768435	29.36703511	1086.959659	105.7345527	23.17042572	8655.680002	3285.640815	26.9238589
AIM2	327.9580556	4538.991046	294.4846139	57.08079673	250.2995803	3311.978393	1115.681612	315.6458748	407.592905	87.22742351	134.4958651	536.1118999	176.9615884	907.0399616
ALOX15	12.23359461	13.75323798	9.774971658	18.5565618	12.00966261	5.239540575	13.15225266	22.38142497	14.4527592	30.17685432	9.776317635	9.800855372	2907.327994	30.34226562
ALOX5	1799.683549	2425.680554	78.68443963	74.93090365	132.0101224	59.08735916	35.00087493	143.0134329	441.5556233	157.0365044	121.9977952	1979.301155	118.4834954	73.10596198
AMPD1	263.7450621	217.7617272	66.1074899	68.66194527	85.31836726	68.46140597	53.95513652	79.26421174	114.0495383	59.1404365	60.67685001	98.2326067	89.21099812	60.64349611
ANGPT4	23.12217296	21.31255675	44.68465936	22.06014827	44.47513375	99.59399622	101.445586	29.46507768	29.2585845	9.380755775	26.17664299	16.91869965	17.89428495	12.01870358
ANKRD55	284.4126543	218.9158033	141.6981114	1853.335599	436.4203479	79.77497227	1077.33032	123.8806106	176.2438812	83.38527977	88.45957062	126.1078201	108.0271283	133.5596277
APOBEC3A	102.4291739	89.60068607	64.35533705	107.2355131	52.73721382	57.78231649	71.37789026	36.39006843	723.1437605	253.3068151	132.2193618	2415.197908	107.913789	2637.278954
