Gene symbol	avg_B cell	avg_NK cell	avg_T cell	avg_Monocyte	avg_Dendritic cell
ABCB4	555.7134486	13.68283856	7.406441697	6.202495893	4.872184408
ABCB9	15.6035437	21.8637228	30.04819243	20.30942573	23.38460308
ACAP1	215.3059512	512.636909	922.1527467	190.8790244	26.41292251
ACHE	15.11794931	16.65373849	18.44492663	16.37526833	193.1599772
ACP5	605.8973843	340.8201368	557.8198203	512.9313823	3989.865169
ADAM28	1943.742699	193.6093922	21.23331069	58.3112027	53.21964861
ADAMDEC1	371.0335929	68.27758592	47.43351387	106.301336	1784.613941
ADAMTS3	146.1955683	31.43526856	57.38590645	54.79707074	44.22693487
ADRB2	486.3438163	1957.53925	595.2105488	664.8839501	82.9116614
AIF1	24.0742984	105.7345527	35.1722477	8655.680002	26.9238589
AIM2	327.9580556	87.22742351	250.2995803	536.1118999	907.0399616
ALOX15	12.23359461	30.17685432	12.00966261	9.800855372	30.34226562
ALOX5	1799.683549	157.0365044	132.0101224	1979.301155	73.10596198
AMPD1	263.7450621	59.1404365	85.31836726	98.2326067	60.64349611
ANGPT4	23.12217296	9.380755775	44.47513375	16.91869965	12.01870358
ANKRD55	284.4126543	83.38527977	436.4203479	126.1078201	133.5596277
APOBEC3A	102.4291739	253.3068151	52.73721382	2415.197908	2637.278954
APOBEC3G	1283.451966	6314.770723	2340.674986	865.7405246	1393.358139
APOL3	222.6275107	1172.693097	1615.032254	1000.826958	861.4587391
APOL6	17.31182151	12.85527177	8.439383107	11.82068745	159.5346364
AQP9	21.34280658	93.46925864	14.8941249	2044.034835	1454.899429
ARHGAP22	34.63556475	82.42753503	22.63123607	54.80800174	2985.731104
ARRB1	15.93115384	57.39670667	25.18421938	440.2370047	32.66449377
ASGR1	40.87013431	10.82390469	13.27420938	976.7071792	33.71862306
ASGR2	30.26095627	29.55398187	41.82249473	1484.961048	23.49623112
ATHL1	367.9599908	570.547141	794.9480224	183.2808703	26.36096779
ATP8B4	123.6149862	612.7580118	51.01417813	219.3440174	109.3567651
ATXN8OS	19.03486997	10.34693112	12.65987353	10.41544387	12.37331355
AZU1	26.08448842	411.6451897	45.14159359	96.50450872	58.98475492
BACH2	4442.146224	478.0988813	449.1787857	52.1091524	82.81441868
BANK1	7633.960182	33.00482498	35.51276327	86.58724759	19.41137259
BARX2	16.2562128	19.02444933	10.89927471	18.15622799	21.75934628
BCL11B	166.5812991	818.2107999	4962.937555	88.02675109	76.4604343
BCL2A1	112.6417383	539.9592883	755.8584033	2261.391134	5551.253657
BCL7A	1097.312303	31.50174882	78.52160611	53.33648066	211.8047471
BEND5	571.2009408	74.64354417	64.9845649	57.98412082	79.33688539
BFSP1	8.615516504	34.61450761	8.910362721	21.37855994	12.20057862
BHLHE41	227.283923	51.53421812	26.70594032	42.84587819	552.0522552
BIRC3	1762.323129	283.6871924	1121.424012	159.952492	10553.57544
BLK	1788.424777	10.05664906	19.16528476	34.13408456	16.7439792
BMP2K	282.3095234	107.0425872	42.06887765	350.5910579	620.4619299
BPI	10.46971467	837.2008291	12.50772288	280.0017084	14.91304029
BRAF	2571.803933	298.7194597	155.551421	264.8782577	360.063401
BRSK2	10.44585498	18.27029466	16.19041478	11.75864418	28.80995339
BST1	65.21842011	151.4101449	67.69994038	1567.219569	113.982438
BTNL8	15.22236138	11.54872001	17.46905843	20.1092024	18.98239767
C11orf80	531.8492615	100.49005	158.5148937	85.67243058	141.8654708
C1orf54	41.71079514	162.6593193	288.2644361	395.0230177	1134.906101
C3AR1	131.0995558	753.7180287	198.3433582	1337.368233	259.2776033
C5AR1	92.39233333	335.1748215	24.57422621	4237.561451	889.9578222
C5AR2	8.032047496	35.45497764	6.818438323	56.84374943	18.84768096
CA8	17.99617948	14.15699793	16.42178108	14.00907196	32.21701547
CAMP	32.24981999	1655.267194	101.7397638	126.178855	41.52861367
CASP5	16.22879037	35.16192527	9.073509293	120.1766089	52.52248298
CCDC102B	7.52422977	21.31213885	13.31038127	5.674857963	8.571628691
CCL1	9.151450435	11.53343942	9.669430796	11.12331494	366.165883
CCL13	195.3507704	95.02050924	118.4029297	87.08769892	5513.790278
CCL14	70.01715851	67.54459099	91.76959128	105.0702474	172.6730315
CCL17	42.21616032	75.01179342	30.30478142	67.76049878	6414.906541
CCL18	19.93877192	39.1384328	12.82579482	40.68134871	1749.786143
CCL19	78.52160611	109.9231796	60.92923205	115.5525527	3048.871233
CCL20	39.50876033	18.43517451	29.40136468	18.85113165	1509.776445
CCL22	46.07125476	26.9167755	27.87853733	33.117333	30950.32751
CCL23	19.74347261	64.61571582	27.6569304	37.98614378	377.5397731
CCL4	1661.464071	11202.80591	442.4757485	3000.888772	4282.933369
CCL5	19.56849893	17238.65692	3143.971755	102.8425968	6507.212063
CCL7	80.54919503	33.53994623	38.5055913	36.20654238	72.95235312
CCL8	229.3383995	49.61858818	64.22389989	126.7672449	1523.493213
CCND2	299.0433892	1065.420393	1162.572673	196.775837	308.3936468
CCR10	52.98873326	81.81890669	282.9223926	68.90758909	76.23824701
CCR2	420.0370653	92.11909435	756.5516447	2908.726283	117.1398876
CCR3	135.0222303	128.2007913	88.58205857	83.4012701	66.10168276
CCR5	98.76355416	578.4832233	462.1524294	489.987509	624.5662045
CCR6	327.4987971	46.43838291	486.3438163	29.59035049	42.18974701
CCR7	3811.326733	672.4665585	2693.556404	165.2353496	14223.15516
CD160	446.1294222	2499.533496	125.3243228	93.85626167	78.86266197
CD180	1502.166724	37.04952547	37.96319899	576.4469199	93.2676663
CD19	7315.689158	90.4860579	55.61361754	164.9026221	161.3344231
CD1A	1294.174017	152.5357864	191.4053509	312.0225877	1315.229715
CD1B	1351.157456	152.9052072	192.5532686	198.2817057	2349.595156
CD1C	1349.225244	36.32319474	204.5100438	526.834127	1002.723527
CD1D	243.5748238	16.24955986	10.79075018	2785.253606	51.31081795
CD1E	53.25152761	53.71078497	55.87769713	91.10615096	1421.6131
