	avg_B cell	avg_Dendritic cell	avg_Monocyte	avg_NK cell	avg_T cell
KLRG1	0.08377718180418015	0.06932685524225235	0.05627243593335152	1.0926910638809204	0.5220186114311218
LINC00921	0.03236321359872818	0.06957973539829254	0.0430506132543087	0.058850858360528946	0.0459250807762146
VNN3	0.0	0.0	0.09894018620252609	0.0	0.00046660128282383084
APOL6	0.053255848586559296	0.5482494235038757	0.2674374282360077	0.4791422486305237	0.300896018743515
CD37	2.4630861282348633	2.2503437995910645	1.9056463241577148	1.7989140748977661	1.9322782754898071
HSPA6	0.012129025533795357	0.3220546245574951	0.13597765564918518	0.05134383961558342	0.014769666828215122
SMPDL3B	0.0017065739957615733	0.0	0.0	0.014946394599974155	0.0008369484567083418
IGHE	0.01851637102663517	0.0	0.0	0.0	0.00047622391139157116
CPA3	0.0	0.0	0.00133328209631145	0.0	0.0008626551716588438
TRAF4	0.21545325219631195	0.07879072427749634	0.02734016254544258	0.08810124546289444	0.062443770468235016
TNFAIP6	0.0018375975778326392	0.009986204095184803	0.1061682477593422	0.0	0.0013382413890212774
CD68	0.14127494394779205	2.258450746536255	1.5930554866790771	0.05815454572439194	0.1403457075357437
CD4	0.08355303108692169	1.253101110458374	0.9911566972732544	0.042781803756952286	0.33395835757255554
MNDA	0.2644055187702179	2.0479493141174316	2.3659627437591553	0.17627815902233124	0.23900152742862701
TNFRSF17	0.18136578798294067	0.0	0.0026536183431744576	0.0	0.006512061692774296
RYR1	0.00530340988188982	0.1181776151061058	0.025416038930416107	0.00663071870803833	0.022555222734808922
FES	0.08121096342802048	0.4002320170402527	0.47587528824806213	0.2630441188812256	0.07135964184999466
DPEP2	0.285915344953537	0.8868986368179321	0.37504905462265015	0.23451654613018036	0.25290369987487793
TCL1A	1.6250027418136597	0.20870260894298553	0.12165959179401398	0.08293358981609344	0.11201216280460358
IL18R1	0.0051507847383618355	0.01065993495285511	0.008942912332713604	0.19008943438529968	0.04738249257206917
SIK1	0.012296783737838268	0.11000387370586395	0.05435215309262276	0.021953586488962173	0.021662473678588867
P2RY14	0.10881393402814865	0.0	0.009012105874717236	0.014106383547186852	0.026242157444357872
BACH2	0.37427476048469543	0.05945803225040436	0.022078773006796837	0.0656743198633194	0.16607864201068878
BRAF	0.13040369749069214	0.07902597635984421	0.08982416987419128	0.10254237800836563	0.10513322055339813
CLEC10A	0.030504796653985977	0.14208929240703583	0.10351255536079407	0.013597825542092323	0.06295569986104965
CCL23	0.0	0.0	0.0027061786968261003	0.0	0.0009307236759923398
MAP3K13	0.2014351785182953	0.3686862885951996	0.3014000356197357	0.14583565294742584	0.22121460735797882
GZMA	0.14203566312789917	0.11857197433710098	0.16971249878406525	2.3349714279174805	0.7180992960929871
NPIPB15	0.005370346829295158	0.019846798852086067	0.010450049303472042	0.007273795548826456	0.009306436404585838
OSM	0.022917671129107475	0.04945742338895798	0.13077284395694733	0.06466549634933472	0.08760156482458115
LTB	2.335665225982666	1.8505315780639648	0.9555426239967346	1.0418108701705933	2.217468023300171
SIGLEC1	0.0	0.0	0.028596321120858192	0.0	0.004022715147584677
IL2RB	0.06507588922977448	0.03899769112467766	0.05458301305770874	1.8159805536270142	0.3029751181602478
EPB41	0.25222545862197876	0.2283283770084381	0.17888914048671722	0.40800657868385315	0.4522743821144104
IL1B	0.06890765577554703	0.7564652562141418	1.3166979551315308	0.07338570803403854	0.137250155210495
GPR18	0.3725736737251282	0.029428036883473396	0.02332780696451664	0.11583001911640167	0.12779097259044647
CTLA4	0.003544070990756154	0.0	0.002618568716570735	0.014035142958164215	0.03809633105993271
RPL10L	0.00909843947738409	0.009851265698671341	0.002653546864166856	0.0	0.006500763352960348
CD72	0.8113048672676086	0.019805192947387695	0.04034886136651039	0.1097978949546814	0.04510612040758133
CRTAM	0.01566210389137268	0.09821531176567078	0.0887620598077774	0.16053688526153564	0.195485457777977
UPK3A	0.003594400826841593	0.21805426478385925	0.2150583565235138	0.0	0.050279855728149414
KLRF1	0.033916302025318146	0.04002448916435242	0.0416993647813797	2.1939361095428467	0.1044313982129097
FRMD8	0.18892386555671692	0.2696146070957184	0.13637791574001312	0.2191915512084961	0.22725790739059448
ZBP1	0.1627650111913681	0.06921450048685074	0.030891120433807373	0.41598471999168396	0.13480143249034882
HIST1H2AE	0.05224863067269325	0.049557775259017944	0.03394291549921036	0.04355631396174431	0.04129081219434738
MS4A6A	0.07379204034805298	0.5728052854537964	1.9190421104431152	0.07396590709686279	0.1450992375612259
KLRB1	0.1839752197265625	0.230769082903862	0.20677639544010162	2.313929557800293	0.6683662533760071
MEFV	0.00871653575450182	0.36766475439071655	0.18737562000751495	0.0074189892038702965	0.015163279138505459
CD1C	0.32771486043930054	0.059531234204769135	0.11643171310424805	0.04381072521209717	0.0793912410736084
CD300A	0.05715082585811615	1.391493320465088	0.42214101552963257	1.296982765197754	0.21602880954742432
LILRA2	0.05643653869628906	1.3490732908248901	0.6292741298675537	0.013940326869487762	0.06852065771818161
VILL	0.09003765136003494	0.07961152493953705	0.05517207458615303	0.07196860015392303	0.09669799357652664
DENND5B	0.12035956233739853	0.00999857671558857	0.006485867314040661	0.0	0.00913095474243164
KIR2DL4	0.0018628204707056284	0.0	0.0	0.051041096448898315	0.0008575856918469071
PTGDR	0.015970569103956223	0.019396206364035606	0.01039243582636118	1.2328332662582397	0.13198481500148773
CD86	0.13571926951408386	0.9447096586227417	0.5858502984046936	0.028339611366391182	0.06529264152050018
CCL4	0.10015864670276642	0.2614372968673706	0.3397062420845032	1.784243106842041	0.3107674717903137
ZNF324	0.05029549449682236	0.05898327752947807	0.026957903057336807	0.058834634721279144	0.10828926414251328
GRAP2	0.21446089446544647	0.009833206422626972	0.05214652046561241	0.33488884568214417	0.5512264370918274
CD27	0.5248875617980957	0.17882408201694489	0.1387738287448883	0.21081040799617767	1.4278225898742676
PLEKHG3	0.010472589172422886	0.05963614210486412	0.07564524561166763	0.44131505489349365	0.07947183400392532
FFAR2	0.0018543233163654804	0.17923370003700256	0.05462171137332916	0.0	0.0049204095266759396
LAMP3	0.0018513946561142802	0.0	0.0012736364733427763	0.0	0.007415159605443478
GNG7	0.8751556277275085	0.05096801742911339	0.06004766747355461	0.013864860869944096	0.07906051725149155
AQP9	0.0018242334481328726	0.019606396555900574	0.12224765866994858	0.0	0.0017722640186548233
CLEC4A	0.15599805116653442	1.0717217922210693	1.1950093507766724	0.07234424352645874	0.11498959362506866
CD160	0.026914004236459732	0.029067883267998695	0.013049077242612839	1.4453740119934082	0.1479375958442688
ZNF442	0.007370088715106249	0.0097635043784976	0.001294643385335803	0.0	0.00840036291629076
TPSAB1	0.0	0.0	0.0	0.0	0.0010113513562828302
ARHGAP22	0.0384182333946228	0.009829042479395866	0.02470363862812519	0.0	0.01256504375487566
MAP4K2	0.37451794743537903	0.36849692463874817	0.06872037798166275	0.09328407049179077	0.253936231136322
CD247	0.167169988155365	0.1683458685874939	0.13175341486930847	2.0306191444396973	1.046441912651062
AIM2	0.22104576230049133	0.10038292407989502	0.024993760511279106	0.006938812788575888	0.025745678693056107
TREM1	0.0255300123244524	0.18708185851573944	0.47066959738731384	0.014000657014548779	0.03441175818443298
MANEA	0.026728147640824318	0.03908707574009895	0.031349118798971176	0.0215782318264246	0.04959159344434738
CD28	0.024651769548654556	0.0873679369688034	0.020531246438622475	0.021445559337735176	0.3119223117828369
MSC	0.005315358284860849	0.0	0.0013952560257166624	0.0	0.0163118839263916
FCER2	1.261936068534851	0.07005496323108673	0.0471416600048542	0.03658004850149155	0.03236425668001175
CD3D	0.40676212310791016	0.5590177774429321	0.4192347824573517	0.35737544298171997	2.1588940620422363
CXorf57	0.016298653557896614	0.0	0.0026462252717465162	0.007308689411729574	0.02084297500550747
CSF1	0.0	0.0	0.0025447902735322714	0.0	0.021314887329936028
ELANE	0.005321593955159187	0.029759828001260757	0.11646521836519241	0.007325425744056702	0.0031896803993731737
CFP	0.10835729539394379	2.0121164321899414	1.6626311540603638	0.08853977173566818	0.25881293416023254
FAM198B	0.01431873720139265	0.3725880980491638	0.600174605846405	0.021258478984236717	0.02153838612139225
FRMD4A	0.0	0.0206559207290411	0.0	0.0	0.007470224518328905
ST3GAL6	0.01463468186557293	0.22765688598155975	0.24890939891338348	0.0	0.030720625072717667
ARRB1	0.023005500435829163	0.7113193273544312	0.3203705847263336	0.24738816916942596	0.0807352364063263
KLRK1	0.010733318515121937	0.0	0.002578931860625744	0.07972011715173721	0.034290529787540436
TNFRSF11A	0.0	0.0	0.0	0.029283935204148293	0.002267563482746482
IL7R	0.23664267361164093	0.2102167308330536	0.21056467294692993	0.2741411328315735	1.5845714807510376
CD79A	2.4059066772460938	0.24794423580169678	0.15424585342407227	0.15550696849822998	0.2216099500656128
DACH1	0.0035901202354580164	0.0	0.009277230128645897	0.0	0.0017923895502462983
S100A12	0.1672249734401703	0.4827668070793152	2.2385287284851074	0.13185188174247742	0.20673243701457977
VNN1	0.0018021975411102176	0.04966915026307106	0.07989493757486343	0.0	0.005205431487411261
VNN2	0.1786171793937683	0.22895467281341553	0.45181113481521606	0.13822288811206818	0.1455272138118744
IFNG	0.01599891483783722	0.0195563156157732	0.01552699413150549	0.5941178202629089	0.10891701281070709
RALGPS2	1.2771121263504028	0.03955989331007004	0.030246691778302193	0.09399937838315964	0.06099114939570427
ETS1	0.5727924704551697	0.11945117264986038	0.08071457594633102	0.9795563220977783	1.106598138809204
DHRS11	0.01809488795697689	0.01956457830965519	0.015561316162347794	0.0074219414964318275	0.028315236791968346
SERGEF	0.12007240206003189	0.19678817689418793	0.08976572751998901	0.19605493545532227	0.192952960729599
CCND2	0.10395356267690659	0.05935455858707428	0.07405927777290344	0.49184170365333557	0.3572140038013458
EGR2	0.038077227771282196	0.11957310140132904	0.05339359492063522	0.029529497027397156	0.026001647114753723
ZAP70	0.14302104711532593	0.10912567377090454	0.10412381589412689	1.4368683099746704	0.7780585289001465
STEAP4	0.014575650915503502	0.0	0.1232183501124382	0.007450956851243973	0.010574692860245705
FPR3	0.0	0.010121244005858898	0.01927528716623783	0.0	0.003057443303987384
KCNA3	0.0363035686314106	0.050225310027599335	0.024689828976988792	0.044223539531230927	0.09428969770669937
PLA2G7	0.014519919641315937	0.09836529940366745	0.41720664501190186	0.021172882989048958	0.01631706766784191
COLQ	0.010782073251903057	0.0	0.005193683784455061	0.17482486367225647	0.014460820704698563
HIC1	0.005358092952519655	0.02000422775745392	0.0012906708288937807	0.10987693071365356	0.011082177981734276
NCR3	0.3794228434562683	0.09059134125709534	0.05088767409324646	1.2604626417160034	0.3149975538253784
C1orf54	0.023126263171434402	0.2131013572216034	0.22364364564418793	0.021841103211045265	0.046237196773290634
ZNF135	0.03871435672044754	0.0	0.005230947397649288	0.06550540775060654	0.028437182307243347
SELL	1.6472723484039307	0.9040725231170654	1.601858377456665	1.1803611516952515	1.5796535015106201
PADI4	0.025133248418569565	0.02927073836326599	0.22974734008312225	0.03572699427604675	0.0828598141670227
ZFP36L2	1.3930870294570923	1.953878402709961	1.9174169301986694	1.8180022239685059	2.0984411239624023
PPBP	0.027392907068133354	0.09069940447807312	0.07788757979869843	0.022764315828680992	0.025863042101264
CDA	0.04470650479197502	1.3997421264648438	1.1423521041870117	0.03654340282082558	0.05247875303030014
ST6GALNAC4	0.14887793362140656	0.07939568161964417	0.06763199716806412	0.11618707329034805	0.12503907084465027
CCL19	0.0016921270871534944	0.0	0.003917258698493242	0.0	0.0008539737900719047
HRH1	0.0	0.010041676461696625	0.005031130276620388	0.0	0.0009379143011756241
CD244	0.028607692569494247	0.399091511964798	0.09916657954454422	0.6692160367965698	0.10658181458711624
TRBC1	0.2598205804824829	0.3124150037765503	0.2223915159702301	1.32785964012146	1.2729580402374268
CD40LG	0.03514367341995239	0.0	0.02588227018713951	0.007319795433431864	0.42689454555511475
PKD2L2	0.0072402143850922585	0.0	0.0013844039058312774	0.0	0.00702050281688571
MMP25	0.0018270791042596102	0.0	0.011678357608616352	0.014641310088336468	0.00508006801828742
WNT5B	0.0	0.020116392523050308	0.003859117394313216	0.0	0.0012787282466888428
FAM174B	0.007103477604687214	0.019818410277366638	0.01431326661258936	0.007439213339239359	0.0214493740350008
P2RY10	0.5171398520469666	0.12108413130044937	0.020426370203495026	0.06616412103176117	0.21448634564876556
DUSP2	0.36853650212287903	0.4633726179599762	0.48603665828704834	1.1741524934768677	1.1394397020339966
CCR7	0.6229168772697449	0.1489509493112564	0.09013064205646515	0.10126260668039322	0.9492324590682983
CDK6	0.06823615729808807	0.22846916317939758	0.04666724428534508	0.1671231985092163	0.15191590785980225
