	avg_B cell	avg_Dendritic cell	avg_Monocyte	avg_NK cell	avg_T cell
LINC00402	0.021371178328990936	0.009700732305645943	0.018057331442832947	0.014305898919701576	0.19297170639038086
LINC01272	0.03386508300900459	2.1768221855163574	0.9965978264808655	0.050929609686136246	0.060832537710666656
KLRG1	0.08377718180418015	0.06932685524225235	0.05627243593335152	1.0926910638809204	0.5220186114311218
SH2D1B	0.005375881679356098	0.32004010677337646	0.01165748294442892	0.8038044571876526	0.014307910576462746
GLT1D1	0.006921559106558561	0.08929108828306198	0.23044811189174652	0.029268309473991394	0.006924319546669722
MMP17	0.14267364144325256	0.11803951114416122	0.07680714130401611	0.0	0.00625281035900116
CLMN	0.10185166448354721	0.02024257183074951	0.18400807678699493	0.014727793633937836	0.01032591424882412
LRRC25	0.05011994391679764	1.7845721244812012	0.6449652314186096	0.02910291589796543	0.07751265168190002
VNN3	0.0	0.0	0.09894018620252609	0.0	0.00046660128282383084
SPN	0.09952922910451889	1.582708716392517	0.5311263799667358	1.2094014883041382	0.5599241852760315
MEG3	0.005527812521904707	0.35550016164779663	0.006536087952554226	0.0	0.00704404478892684
MMP23B	0.010792691260576248	0.010246102698147297	0.007758656982332468	0.43962031602859497	0.03901442140340805
GPX7	0.119473397731781	0.009716685861349106	0.014517515897750854	0.10132230818271637	0.13601656258106232
LDLRAP1	0.19767314195632935	0.08008143305778503	0.13745005428791046	0.27872005105018616	0.8861872553825378
HSPA6	0.012129025533795357	0.3220546245574951	0.13597765564918518	0.05134383961558342	0.014769666828215122
SPON2	0.03957108408212662	0.12911759316921234	0.035163067281246185	1.7660763263702393	0.15707279741764069
IL10RB.AS1	0.03401780128479004	0.3575848937034607	0.11577243357896805	0.03576243668794632	0.023215176537632942
TNFAIP2	0.03200894221663475	0.9103233814239502	0.9085232019424438	0.007340380921959877	0.07721154391765594
SLA2	0.024300293996930122	0.019458770751953125	0.019484475255012512	0.2784115672111511	0.18427470326423645
UNC119	0.3115170896053314	1.3228120803833008	0.328919917345047	0.3299102783203125	0.24305866658687592
RP11.960L18.1	0.19851328432559967	0.08846964687108994	0.04786519706249237	0.03609686344861984	0.003943157847970724
TNFAIP6	0.0018375975778326392	0.009986204095184803	0.1061682477593422	0.0	0.0013382413890212774
CD68	0.14127494394779205	2.258450746536255	1.5930554866790771	0.05815454572439194	0.1403457075357437
IL6R	0.04953906312584877	0.31031060218811035	0.45371443033218384	0.05062684789299965	0.3320336639881134
CD4	0.08355303108692169	1.253101110458374	0.9911566972732544	0.042781803756952286	0.33395835757255554
MNDA	0.2644055187702179	2.0479493141174316	2.3659627437591553	0.17627815902233124	0.23900152742862701
BCL2	0.48605793714523315	0.09922442585229874	0.06458909064531326	0.19033606350421906	0.5461397171020508
TNFRSF17	0.18136578798294067	0.0	0.0026536183431744576	0.0	0.006512061692774296
RP11.1143G9.4	0.1566973477602005	1.1000128984451294	2.3783814907073975	0.1322944462299347	0.25104883313179016
AC006369.2	0.01552518829703331	0.0	0.007870739325881004	0.1622256487607956	0.1801910698413849
BID	0.17779310047626495	1.7757761478424072	0.8487148284912109	0.5494589805603027	0.30618366599082947
IL32	0.535126805305481	0.594226598739624	0.6015610694885254	1.025368094444275	2.229095935821533
NEURL1	0.010675686411559582	0.6816194653511047	0.053021855652332306	0.014705943875014782	0.020139826461672783
NAIP	0.13173124194145203	0.33083540201187134	0.9608373641967773	0.10109803080558777	0.14294210076332092
APP	0.2424575686454773	0.2276962697505951	0.4024052917957306	0.036059681326150894	0.17300084233283997
S100Z	0.010850588791072369	0.46148768067359924	0.2619803547859192	0.0072647701017558575	0.022469697520136833
TCL1A	1.6250027418136597	0.20870260894298553	0.12165959179401398	0.08293358981609344	0.11201216280460358
TIMP2	0.03177304193377495	0.5432366132736206	0.7119254469871521	0.014169959351420403	0.05450575798749924
